2019-08-23 11:51:34,423 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2019-08-23 11:51:34,423 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2019-08-23 11:51:34,424 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2019-08-23 11:51:34,424 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2019-08-23 11:51:34,424 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2019-08-23 11:51:34,425 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2019-08-23 11:51:34,425 |OFBiz-batch-1        |DatabaseUtil                  |I| - outer joins               [true]*
2019-08-23 11:51:34,425 |OFBiz-batch-1        |DatabaseUtil                  |I| - limited outer joins       [true]
2019-08-23 11:51:34,426 |OFBiz-batch-1        |DatabaseUtil                  |I| - full outer joins          [true]
2019-08-23 11:51:34,426 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by                  [true]*
2019-08-23 11:51:34,428 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by not in select    [true]
2019-08-23 11:51:34,429 |OFBiz-batch-1        |DatabaseUtil                  |I| - column aliasing           [true]
2019-08-23 11:51:34,429 |OFBiz-batch-1        |DatabaseUtil                  |I| - order by not in select    [true]
2019-08-23 11:51:34,431 |OFBiz-batch-1        |DatabaseUtil                  |I| - alter table add column    [true]*
2019-08-23 11:51:34,431 |OFBiz-batch-1        |DatabaseUtil                  |I| - non-nullable column       [true]*
2019-08-23 11:51:34,432 |OFBiz-batch-1        |DatabaseUtil                  |I| - default fetchsize        [0]
2019-08-23 11:51:34,432 |OFBiz-batch-1        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2019-08-23 11:51:34,432 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Table Info From Database
2019-08-23 11:51:34,446 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AccommodationClass] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AccommodationMap] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AccommodationMapType] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AccommodationSpot] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AcctgTrans] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AcctgTransAttribute] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AcctgTransEntry] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AcctgTransEntryType] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AcctgTransType] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AcctgTransTypeAttr] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [Addendum] has no table in the database
2019-08-23 11:51:34,450 |OFBiz-batch-1        |DatabaseUtil                  |W| Entity [AddressMatchMap] has no table in the database
