2019-09-03 11:03:02,176 |jsse-nio-8443-exec-3 |ControlServlet                |T| [[[setSyncServiceParameters(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-09-03 11:03:02,182 |jsse-nio-8443-exec-3 |RequestHandler                |I| Rendering View [setSyncServiceParameters].  Hidden sessionId by default.
2019-09-03 11:03:02,183 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2019-09-03 11:03:02,327 |jsse-nio-8443-exec-3 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2019-09-03 11:03:02,328 |jsse-nio-8443-exec-3 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-09-03 11:03:02,329 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [1] milliseconds
2019-09-03 11:03:02,330 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [3] milliseconds
2019-09-03 11:03:02,361 |jsse-nio-8443-exec-3 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-09-03 11:03:02,396 |jsse-nio-8443-exec-3 |ControlServlet                |T| [[[setSyncServiceParameters(Domain:https://localhost)] Request Done- total:0.22,since last([setSyncServicePa...):0.22]]
2019-09-03 11:03:04,563 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[scheduleServiceSync(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-09-03 11:03:06,781 |jsse-nio-8443-exec-4 |SequenceUtil                  |I| Got bank of sequenced IDs for [EntityAuditLog]; curSeqId=10030, maxSeqId=10040, bankSize=10
2019-09-03 11:03:06,790 |jsse-nio-8443-exec-4 |TransactionUtil               |W| Calling transaction setRollbackOnly; this stack trace shows where this is happening:
java.lang.Exception: rollback called in Entity Engine SQLProcessor
	at org.apache.ofbiz.entity.transaction.TransactionUtil.setRollbackOnly(TransactionUtil.java:358) [ofbiz.jar:?]
	at org.apache.ofbiz.entity.jdbc.SQLProcessor.rollback(SQLProcessor.java:185) [ofbiz.jar:?]
	at org.apache.ofbiz.entity.datasource.GenericDAO.insert(GenericDAO.java:112) [ofbiz.jar:?]
	at org.apache.ofbiz.entity.datasource.GenericHelperDAO.create(GenericHelperDAO.java:65) [ofbiz.jar:?]
	at org.apache.ofbiz.entity.GenericDelegator.create(GenericDelegator.java:852) [ofbiz.jar:?]
	at com.patanjali.order.ImportSalesOrder.tobestore(ImportSalesOrder.java:196) [ofbiz.jar:?]
	at com.patanjali.order.ImportSalesOrder.importSalesOrder(ImportSalesOrder.java:86) [ofbiz.jar:?]
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:1.8.0_181]
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:1.8.0_181]
