2019-08-23 11:57:48,874 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,876 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,877 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,879 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,879 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,882 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,882 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,885 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,886 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,889 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,889 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,891 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,892 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,894 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,894 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,897 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,897 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,899 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,900 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,903 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,903 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,905 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,906 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,908 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,909 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,911 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,912 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,914 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,914 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,915 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [1] milliseconds
2019-08-23 11:57:48,916 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,919 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,919 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,922 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,922 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,925 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,925 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,928 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,928 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,931 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,932 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,934 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,935 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,938 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,939 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,941 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,942 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,945 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,945 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,948 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,949 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,951 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,952 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,954 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,956 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,960 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [4] milliseconds
2019-08-23 11:57:48,961 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,963 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,964 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,967 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,968 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,971 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,972 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,975 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,976 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,979 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,980 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,983 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,984 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,987 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,988 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,990 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,991 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,993 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:48,993 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,996 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,996 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:48,999 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:48,999 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,002 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,002 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,005 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:49,005 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,008 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,008 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,011 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,011 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,014 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,015 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,017 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:49,018 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,021 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,021 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,024 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,024 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,026 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:49,026 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,029 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
