2019-08-26 11:34:04,167 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.0s, 26 requests, 10 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/portal-controller.xml
2019-08-26 11:34:04,174 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/security-controller.xml
2019-08-26 11:34:04,181 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2019-08-26 11:34:04,184 |jsse-nio-8443-exec-5 |RequestHandler                |I| Rendering View [ServiceList].  Hidden sessionId by default.
2019-08-26 11:34:04,191 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 12 screens in 0.004s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/ServiceScreens.xml
2019-08-26 11:34:04,375 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 11 screens in 0.004s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/CommonScreens.xml
2019-08-26 11:34:04,380 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 28 screens in 0.004s from: file:/home/sudhir/Documents/patanjali-nepal/framework/common/widget/CommonScreens.xml
2019-08-26 11:34:04,421 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 27 screens in 0.005s from: file:/home/sudhir/Documents/patanjali-nepal/themes/common-theme/widget/CommonScreens.xml
2019-08-26 11:34:04,446 |jsse-nio-8443-exec-5 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2019-08-26 11:34:04,453 |jsse-nio-8443-exec-5 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 11:34:04,522 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [68] milliseconds
2019-08-26 11:34:04,522 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [76] milliseconds
2019-08-26 11:34:04,566 |jsse-nio-8443-exec-5 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-08-26 11:34:04,585 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Done- total:0.454,since last([ServiceList(Doma...):0.454]]
2019-08-26 11:34:17,847 |jsse-nio-8443-exec-9 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-08-26 11:34:17,858 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.002s, 113 requests, 78 views in file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2019-08-26 11:34:17,866 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.001s, 51 requests, 23 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/common-controller.xml
2019-08-26 11:34:17,872 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/handlers-controller.xml
2019-08-26 11:34:17,879 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.0s, 26 requests, 10 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/portal-controller.xml
2019-08-26 11:34:17,886 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/security-controller.xml
2019-08-26 11:34:17,893 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.001s, 5 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2019-08-26 11:34:17,896 |jsse-nio-8443-exec-9 |RequestHandler                |I| Rendering View [ServiceList].  Hidden sessionId by default.
2019-08-26 11:34:17,902 |jsse-nio-8443-exec-9 |ScreenFactory                 |I| Got 12 screens in 0.004s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/ServiceScreens.xml
2019-08-26 11:34:18,076 |jsse-nio-8443-exec-9 |ScreenFactory                 |I| Got 11 screens in 0.006s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/CommonScreens.xml
2019-08-26 11:34:18,081 |jsse-nio-8443-exec-9 |ScreenFactory                 |I| Got 28 screens in 0.003s from: file:/home/sudhir/Documents/patanjali-nepal/framework/common/widget/CommonScreens.xml
2019-08-26 11:34:18,128 |jsse-nio-8443-exec-9 |ScreenFactory                 |I| Got 27 screens in 0.005s from: file:/home/sudhir/Documents/patanjali-nepal/themes/common-theme/widget/CommonScreens.xml
2019-08-26 11:34:18,188 |jsse-nio-8443-exec-9 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2019-08-26 11:34:18,195 |jsse-nio-8443-exec-9 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 11:34:18,287 |jsse-nio-8443-exec-9 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [91] milliseconds
2019-08-26 11:34:18,288 |jsse-nio-8443-exec-9 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [99] milliseconds
2019-08-26 11:34:18,313 |jsse-nio-8443-exec-9 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-08-26 11:34:18,336 |jsse-nio-8443-exec-9 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Done- total:0.489,since last([ServiceList(Doma...):0.489]]
2019-08-26 11:34:21,247 |jsse-nio-8443-exec-8 |ControlServlet                |T| [[[setSyncServiceParameters(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-08-26 11:34:21,250 |jsse-nio-8443-exec-8 |RequestHandler                |I| Rendering View [setSyncServiceParameters].  Hidden sessionId by default.
2019-08-26 11:34:21,251 |jsse-nio-8443-exec-8 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2019-08-26 11:34:21,351 |jsse-nio-8443-exec-8 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2019-08-26 11:34:21,351 |jsse-nio-8443-exec-8 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 11:34:21,352 |jsse-nio-8443-exec-8 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [1] milliseconds
2019-08-26 11:34:21,353 |jsse-nio-8443-exec-8 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2019-08-26 11:34:21,397 |jsse-nio-8443-exec-8 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-08-26 11:34:21,404 |jsse-nio-8443-exec-8 |ControlServlet                |T| [[[setSyncServiceParameters(Domain:https://localhost)] Request Done- total:0.157,since last([setSyncServicePa...):0.157]]
2019-08-26 11:34:26,046 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[runService(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-08-26 11:34:26,051 |jsse-nio-8443-exec-4 |RequestHandler                |I| Rendering View [runService].  Hidden sessionId by default.
2019-08-26 11:34:26,052 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2019-08-26 11:34:26,067 |jsse-nio-8443-exec-4 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2019-08-26 11:34:26,068 |jsse-nio-8443-exec-4 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 11:34:26,069 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [1] milliseconds
2019-08-26 11:34:26,070 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [3] milliseconds
2019-08-26 11:34:26,089 |jsse-nio-8443-exec-4 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-08-26 11:34:26,201 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[runService(Domain:https://localhost)] Request Done- total:0.155,since last([runService(Domai...):0.155]]
2019-08-26 11:34:35,585 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[scheduleServiceSync(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-08-26 11:34:35,595 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.001s, 113 requests, 78 views in file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2019-08-26 11:34:35,603 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.0s, 51 requests, 23 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/common-controller.xml
2019-08-26 11:34:35,610 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/handlers-controller.xml
2019-08-26 11:34:35,616 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.0s, 26 requests, 10 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/portal-controller.xml
2019-08-26 11:34:35,623 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/security-controller.xml
2019-08-26 11:34:35,630 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2019-08-26 11:34:36,793 |jsse-nio-8443-exec-4 |SequenceUtil                  |W| Lock failed; no sequence row was found, will try to add a new one for sequence: Party
2019-08-26 11:34:36,802 |jsse-nio-8443-exec-4 |SequenceUtil                  |I| Got bank of sequenced IDs for [Party]; curSeqId=10000, maxSeqId=10010, bankSize=10
2019-08-26 11:34:36,830 |jsse-nio-8443-exec-4 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 11:34:36,854 |jsse-nio-8443-exec-4 |GroovyBaseScript              |I| Checking for alternate permission PARTYMGR_REL_CREATE
2019-08-26 11:34:36,855 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [25] milliseconds
2019-08-26 11:34:36,856 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/partyRelationshipPermissionCheck] finished in [50] milliseconds
2019-08-26 11:34:36,856 |jsse-nio-8443-exec-4 |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2019-08-26 11:34:36,857 |jsse-nio-8443-exec-4 |ServiceEcaRule                |I| For Service ECA [createPartyRelationship] on [invoke] got false for condition: [roleTypeIdFrom][equals][_NA_][true][String]
2019-08-26 11:34:36,857 |jsse-nio-8443-exec-4 |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2019-08-26 11:34:36,857 |jsse-nio-8443-exec-4 |ServiceEcaRule                |I| For Service ECA [createPartyRelationship] on [invoke] got false for condition: [roleTypeIdTo][equals][_NA_][true][String]
2019-08-26 11:34:36,992 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/createPartyRelationship] finished in [187] milliseconds
2019-08-26 11:34:37,026 |jsse-nio-8443-exec-4 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 11:34:37,027 |jsse-nio-8443-exec-4 |GroovyBaseScript              |I| Checking for alternate permission PARTYMGR_PCM_CREATE
2019-08-26 11:34:37,027 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/partyContactMechPermissionCheck] finished in [1] milliseconds
2019-08-26 11:34:37,050 |jsse-nio-8443-exec-4 |SequenceUtil                  |W| Lock failed; no sequence row was found, will try to add a new one for sequence: ContactMech
2019-08-26 11:34:37,060 |jsse-nio-8443-exec-4 |SequenceUtil                  |I| Got bank of sequenced IDs for [ContactMech]; curSeqId=10000, maxSeqId=10010, bankSize=10
2019-08-26 11:34:37,135 |jsse-nio-8443-exec-4 |Log                           |I| [ContactMechServices.xml#createContactMech line 35] Contact mech created with id 10000
2019-08-26 11:34:37,136 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/createContactMech] finished in [85] milliseconds
2019-08-26 11:34:37,186 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/createPostalAddress] finished in [145] milliseconds
2019-08-26 11:34:37,189 |jsse-nio-8443-exec-4 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 11:34:37,190 |jsse-nio-8443-exec-4 |GroovyBaseScript              |I| Checking for alternate permission PARTYMGR_PCM_CREATE
2019-08-26 11:34:37,191 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [1] milliseconds
2019-08-26 11:34:37,192 |jsse-nio-8443-exec-4 |ServiceDispatcher             |T| Sync service [webtools/partyContactMechPermissionCheck] finished in [4] milliseconds
2019-08-26 11:34:37,284 |jsse-nio-8443-exec-4 |Log                           |I| [PartyContactMechServices.xml#createPartyContactMech line 62] Creating a PartyContactMech with id: 10000
2019-08-26 11:34:37,286 |jsse-nio-8443-exec-4 |ServiceEcaCondition           |I| From Field (contactMechPurposeTypeId) is not found in context for createPartyContactMech, defaulting to null.
2019-08-26 11:34:37,286 |jsse-nio-8443-exec-4 |ServiceEcaCondition           |W| doRealCompare returned null, returning false
